source,target,value
0,608,1
0,454,1
0,687,1
0,53,1
0,316,1
0,835,1
1,695,1
1,566,1
1,533,1
1,419,1
1,726,1
1,691,1
1,454,1
1,538,1
1,103,1
1,675,1
1,119,1
1,888,1
1,19,1
1,685,1
1,148,1
1,555,1
1,835,1
1,974,1
1,601,1
1,697,1
1,466,1
1,687,1
1,372,1
1,412,1
1,316,1
1,149,1
1,895,1
1,590,1
2,172,1
2,162,1
2,158,1
2,993,1
2,849,1
2,302,1
2,530,1
2,69,1
2,372,1
2,725,1
2,412,1
2,218,1
2,97,1
2,196,1
2,149,1
2,682,1
2,176,1
3,340,1
3,136,1
3,734,1
3,700,1
3,671,1
3,939,1
3,606,1
4,81,1
4,39,1
4,221,1
4,208,1
4,114,1
4,630,1
4,232,1
4,92,1
4,73,1
4,68,1
4,703,1
4,96,1
4,56,1
4,70,1
4,63,1
4,953,1
4,115,1
4,168,1
4,113,1
4,29,1
4,164,1
4,74,1
4,769,1
5,136,1
5,36,1
5,210,1
5,948,1
5,87,1
5,56,1
5,84,1
5,244,1
5,50,1
5,247,1
5,206,1
5,177,1
5,141,1
5,82,1
5,953,1
5,173,1
5,217,1
5,234,1
5,197,1
5,250,1
5,130,1
5,829,1
5,14,1
5,9,1
5,684,1
5,845,1
5,1000,1
5,135,1
5,131,1
5,95,1
5,958,1
6,56,1
6,172,1
6,133,1
6,70,1
6,208,1
6,182,1
6,645,1
6,20,1
6,75,1
6,798,1
6,764,1
6,22,1
6,246,1
6,40,1
6,65,1
6,120,1
6,14,1
6,106,1
6,782,1
6,164,1
6,57,1
6,810,1
6,290,1
6,152,1
7,121,1
7,81,1
7,46,1
7,490,1
7,375,1
7,166,1
7,948,1
7,506,1
7,691,1
7,181,1
7,70,1
7,50,1
7,959,1
7,206,1
7,75,1
7,153,1
7,593,1
7,576,1
7,202,1
7,27,1
7,530,1
7,660,1
7,697,1
7,60,1
7,232,1
7,704,1
7,104,1
7,967,1
7,9,1
7,106,1
7,782,1
7,164,1
7,131,1
7,57,1
7,41,1
7,732,1
7,738,1
7,982,1
7,683,1
7,152,1
8,61,1
8,36,1
8,222,1
8,689,1
8,137,1
8,39,1
8,112,1
8,50,1
8,983,1
8,13,1
8,247,1
8,206,1
